Name,Artist,Topic,Lyrics
Hands up,Vince Staples,Racism,"North Division tryina stop my blackness I'm watchin' for them badges when out in traffic Them 9-11's been a tad bit frantic If lights start flashin', please don't panic The DEA givin' out gang enhancements Can barely even hang to build a case off cameras CCAT trackin' criminal patterns Trickin' niggas into takin' strikes to get out faster Freedom bribery nigga, 'cause we hardly acquit Social media that leave the flash photography snitchin' Blame geography nigga, for the pride in these niggas Take you when they fingerprint you, now you part of the system This was all apart of Huey P. and Bobby prediction Makin' profit off of violence, they arousin' attention Leaders risin' lead the twenty-five to life in the prison Better watch it, 'cause I know they got a spot for you nigga Yeah, put your hands in the air Put your hands in the air Put your hands in the air Nigga freeze, put your hands in the air Yeah, put your hands in the air Yeah, put your hands in the air Yeah, put your hands in the air Nigga freeze, put your hands in the air Deangelo Lopez and Tyler Woods Just a couple they gunned down around the hood I guess the pigs split wigs for the greater good 'Cause I ain't seen them lock a swine up yet At the most they re-assign 'em to prevent protest Just your color is enough to get you under arrest Strong hand to the law got me feelin' oppressed If you flippin', kill a 50, then you get in a chair Payin' taxes for some fuckin' clowns to ride around Whoopin' niggas asses, scared to man up Handcuffs givin' niggas gashes on the wrist I used to lift my fist to fight the power with Older homie told me in his day the pigs was plantin' bricks In the trunks of nigga's Chevrolets them traffic stops and shit Raidin' homes without a warrant Shoot him first without a warning And they expect respect and non-violence I refuse the right to be silent Yeah, put your hands in the air Put your hands in the air Put your hands in the air Nigga freeze, put your hands in the air Yeah, put your hands in the air Yeah, put your hands in the air Yeah, put your hands in the air Nigga freeze, put your hands in the air LBPD, no they ain't 'bout shit LAPD, no they ain't 'bout shit LASD, no they ain't 'bout shit Ridin' 'round these streets givin' out full clips LBPD, no they ain't 'bout shit LAPD, no they ain't 'bout shit LASD, no they ain't 'bout shit Ridin' 'round these streets givin' out full clips Yeah, put your hands in the air Put your hands in the air Put your hands in the air Nigga freeze, put your hands in the air Yeah, put your hands in the air Put your hands in the air Put your hands in the air 'Igga freeze"
Art of Peer Pressure,Kendrick Lamar,Racism,"Now I can't pledge allegiance to your flag Cause I can't find no reconciliation with your past When there was nothing equal for my people in your math You forced us in the ghetto and then you took our dads The belly of the beast, these streets are demons' abs I'm telling you that setup in them sit-ups is so sad The system is a slab, corruption is the swinger Sitting high riding dirty, drag racing into danger And it's so clean, pine trees smelling good With work off in the trunk and niggas in the hood So I can't shed blood on any battlefield of yours I pray the ugly truth comes and shatters your decor And as it all falls down in tatters on the floor I shed tears, I don't know what really matters anymore Cause I don't know what really matters anymore Man it ain't mean, the strangest thing you've ever seen Oh, would you look at how they swing, would you look at how they swing? They ain't dead though, no, I didn't die y'all I cut myself down, and I admire my fall, into grace Now as I wander through the city going mad I see the fruits of planting evidence instead of grass A swindled generation with no patience, full of swag Man, they so impatient with the stations that they have As long as they look good when they be doing bad Then the separation from the truth is getting vast, fast Be a slave at first or free at last Double-edged choices make a nigga wanna pass Double-headed voices from the eagle on the staff The pyramid where eyes will split the spirited in half Divided over money, delighted by the dummying Down of the importance of crowns we'll never have That's why my sounds and sermons are so full of wrath Baptize your mind, let your brain take a bath Swim inside the river get delivered from the craft Of the witches in this business that be living off your sad Hating on your happiness you hit 'em off with laughs Smile 'til they surrender, then you kill 'em off with glad Hello evil, I'm back Man it ain't mean, the strangest thing you've ever seen Oh, would you look at how they swing, would you look at how they swing? They ain't dead though, no, I didn't die y'all I cut myself down, and I admire my fall, into grace"
Just to Get By,Talib Kweli,Racism,"Yeah...my Lord...yeah We sell, crack to our own out the back of our homes We smell the musk at the dusk in the crack of the dawn We go through ""Epidodes II, "" like ""Attack of the Clones"" Work 'til we break our back and you hear the crack of the bone To get by...just to get by Just to get by, just to get by We commute to computers Spirits stay mute while you eagles spread rumors We survivalists, turned to consumers To get by...just to get by Just to get by, just to get by Ask Him why some people got to live in a trailer, cuss like asailor I paint a picture with the pen like Norman Mailer Me and Willa raised three daughters all by herself, with no help I think about a struggle and I find the strength in myself These words, melt in my mouth They hot, like the jail cell in the South Before my nigga Core bailed me out To get by.. just to get by Just to get by, just to get by We do or die like Bed-Stuy through the red sky with the window of the red eye Let the lead fly, some G. Rap shit, ""Livin' to Let Die"" This morning, I woke up Feeling brand new and I jumped up Feeling my highs, and my lows In my soul, and my goals Just to stop smokin', and stop drinkin' And I've been thinkin' - I've got my reasons Just to get (by), just to get (by) Just to get (by), just to get (by) We keeping it gangster say ""fo shizzle"", ""fo sheezy"" and ""stayincrunk"" Its easy to pull a breezy, smoke trees, and we stay drunk Yo, I activism - attackin' the system, the blacks and latins in prison Numbers of prison they victim black in the vision Shit and all they got is rappin' to listen to I let them know we missin' you, the love is unconditional Even when the condition is critical, when the livin is miserable Your position is pivotal, I ain't bullshittin' you Now, why would I lie? Just to get by? Just to get by, we get fly The TV got us reachin' for stars Not the ones between Venus and Mars, the ones that be readin' for parts Some people get breast enhancements and penis enlargers Saturday sinners Sunday morning at the feet of the Father They need somethin' to rely on, we get high on all types of drug When, all you really need is love To get by...just to get by Just to get by, just to get by Our parents sing like John Lennon, ""Imagine all the people watch"" We rock like Paul McCartney from now until the last Beatles drop Some people cry, and some people try Just to get by, for a piece of the pie You love to eat and get high We deceive when we lie, and we keepin' it fly When, the people decide, to keep a disguise Can't see they eyes, see the evil inside But there's people you find Strong or feeble in mind, I stay readin' the signs"
Dont Shoot,The Game,Racism,"Our Lord, grant us good in this world And good in the life, to come keep us safe from the torment of the fire As we keep our hands up high and scream for justice Ferguson, rest in peace Mike Brown And all the young soldiers out there God help us Time to take a stand and save our future Like we all got shot, we all got shot Throwing up our hands don't let them shoot us 'Cause we all we got, we all we got God ain't put us on the Earth to get murdered, it's murder God ain't put us on the Earth to get murdered, it's murder Don't point your weapons at me Seen the pictures, feel the pain, scandalous how they murder son Tired of them killing us, I'm on my way to Ferguson Talked to TIP, I talked to Diddy, them my brothers walking with me Mothers crying ""Stop the riots"", we ain't got to chalk the city I seen Cole out there, felt I should go out there They left that boy for hours in the cold out there They killin' teens, they killin' dreams (It's murder) Yo, come on we gotta stick together, we all we got Police taking shots and I ain't talkin' bout CÎROC I'm talking bout Emmett Till, I'm talking bout Ezell Ford I'm talking bout Sean Bell, they never go to jail for Trayvon over Skittles, Mike Brown Cigarillos History keeps repeating itself, like a Biggie instrumental America's a glass house and my revenge is mental Rather use my brain than throw a cocktail through a window I got the keys to the city still we left in the cold Hands in the sky, still was left in the road Ribbon in the sky, Michael Brown, another soul Stole by the system, black men we pay the toll The price is your life, Uncle Sam want a slice Black dress code now we looting in the night Now we throwing Molotovs in this holocaust And I know they hate to hear me screaming, 'I'm a Boss!' Time to take a stand and save our future Like we all got shot, we all got shot Throwing up our hands don't let them shoot us 'Cause we all we got, we all we got God ain't put us on the Earth to get murdered, it's murder God ain't put us on the Earth to get murdered, it's murder Don't point your weapons at me Tired of the okie-dokie, lying you Pinocchio Driving while black, tell me, where am I supposed to go? Gun shots hit the car, now I got the holy ghost If excessive force was a drug, then they overdosed Got us tryna protest, it's a slow process Heard it's a lot of rotten eggs in the crow's nest People praying on they feet, police holding on they heat Turned on the news and seen a tank rolling down the street Yeah, I seen a lot of ice water tossed, and I know it's for a cause My only question is, what we doing for the loss Of Mike Brown? 'Cause right now, I challenge you to use your talents to Speak up, and don't you ever let them silence you 'Cause action speaks louder than words, that's what I heard Shot down with his hands up, that's what occurred Man that sound absurd Matter fact to me that sound like murder We want justice Ay yo Game, I had a crib out there, I used to live out there So I know how niggas feel out there People stressing, protesting, unity is a blessing So it's time we come together, use our voice as a weapon I am Michael Brown, 'cause I stand for what he stand for News say we're looting, paint pictures like we some animals On my NWA CMG Hollerin' ""Rest in peace Eazy and fuck the police"" Heard another brother slain up in St. Louis Sure the mother feel the pain, but what you famous doing? I'm sure the general population trying to be more active But when the light finally catches you, you ice challenge Okay, and I support the ALS just like the rest of them But you have yet to pay your debt, so you just flexing then 'Cause everybody care for a minute, then stop People only there for a minute, then stop And what's the point of giving if you ain't giving your all? We never getting ahead, might as well give up your heart Where does it end? I got my hands up, what else am I supposed to do? (Rest in peace to Mike Brown) Where does it end? (And all the other fallen soldiers) Tell me, where's the love for everything we're going through? Mercy, mercy, mercy, mercy me Hope that God can save us Mercy, mercy, mercy, mercy me (As we lead in peace) Martin Luther King had a dream But they ain't respecting Jesse up out here And they don't really respect Obama out here Lights out, go dark it's like a nightmare How the fuck you play the game, but they ain't playing fair It's going down, Armageddon right here Right now, not on TV, but right here Put your flags in the air if you don't really care (Wave it) We need justice, yeah, we need justice here I heard he surrendered but we all saw how they did him Television broadcasts, a confused country I'm a resident of a nation that don't want me What's done is done, the town erupts in fury And I'm already hearing 'bout this lopsided jury Three faces like his, the rest another story A lot of motherfuckers need to act more worried The revolution has been televised If I sit here and do don't do nothing, homie, that's genocide Fuck that, we have arrived And who cares who ain't on our side 'cause we on our own How do you preach peace to a family that just lost they own? My brodie Game just banged my line like ""We gotta do something"" All that marching and that peace ain't gonna fucking do nothing Fuck it, my moms, sorry, I'm ready to rage The police done let the animals out of the cage, oh lord it's Time to take a stand and save our future Like we all got shot, we all got shot Throwing up our hands don't let them shoot us 'Cause we all we got, we all we got God ain't put us on the Earth to get murdered, it's murder God ain't put us on the Earth to get murdered, it's murder Don't point your weapons at me Stand up"
Murder To Excellence,"Kanye West, Jay-Z",Racism,"The paper read ""Murder, black-on-black murder"" Paper read ""Murder, black-on-black murder"" again This is to the memory of Danroy Henry Too much enemy fire to catch a friendly Strays from the same shade nigga, we on the same team Giving you respect, I expect the same thing All-black everything, nigga you know my fresh code I'm out here fighting for you, don't increase my stress load Niggas watching the throne, very happy to be you Power to the people, when you see me, see you And I'm from the murder capital where they murder for capital Heard about at least three killings this afternoon Looking at the news like, ""Damn I was just with him after school"" No shop class but half the school got a tool And a ""I could die any day""-type attitude Plus his little brother got shot reppin' his avenue It's time for us to stop and redefine black power Forty one souls murdered in fifty hours The paper read ""Murder, black-on-black murder"" The paper read ""Murder, black-on-black murder"" again, murder again Is it genocide? 'Cause I can still hear his mama cries Know the family traumatized Shots left holes in his face 'bout piranha-sized The old pastor closed the cold casket And said the church ain't got enough room for all the tombs It's a war going on outside we ain't safe from I feel the pain in my city wherever I go Three hundred fourteen soldiers died in Iraq Five hundred and nine died in Chicago I arrived on the day Fred Hampton died Uh, real niggas just multiply And they say by twenty-one I was supposed to die So I'm out here celebrating my post-demise If you put crabs in a barrel to insure your survival You're gon' end up pulling down niggas that look just like you What up, Blood? What up, cuz? It's all black, I love us The paper read ""Murder, black-on-black murder"" The paper read ""Murder, black-on-black murder"" again, ""Black-on black murder"" again, ""black-on-black murder"" again It's a celebration of black excellence, black tie, black Maybachs Black excellence, opulence, decadence Tuxes next to the president, I'm present I dress in Dries and other boutique stores in Paris In sheepskin coats, I silence the lambs Do you know who I am, Clarice? No cheap cologne whenever I ""shh-shh"" Success never smelled so sweet I stink of success, the new black elite They say my Black Card bears the mark of the beast I repeat, my religion is the beat My verse is like church, my Jesus piece Now please, domino, domino Only spot a few blacks the higher I go What's up to Will? Shout out to O That ain't enough, we gonna need a million more ""Kick in the door"" Biggie flow I'm all dressed up with nowhere to go Yeah it's all messed up when it's nowhere to go So we won't take the time out 'til we reach the T-O-P From parolees to hold G's, sold keys, low keys We like the promised land of the OG's In the past if you picture events like a black tie What the last thing you expect to see? Black guys What's the life expectancy for black guys? The system's working effectively, that's why! I'll be a real man, take care of your son Every problem you had before this day is now done New crib, watch a movie 'cause ain't nothin' on the news but the blues Hit the mall, pick up some Gucci, now ain't nothing new but your shoes Sunday morning, praise the Lord You're the girl that Jesus had been saving me for So let's savor this moment and take it to the floor Black excellence, truly yours"
Glory,"John Legend, Common",Racism,"One day when the glory comes It will be ours, it will be ours Oh one day when the war is won We will be sure, we will be sure Oh glory (Glory, glory) Oh (Glory, glory) Hands to the Heavens, no man, no weapon Formed against, yes glory is destined Every day women and men become legends Sins that go against our skin become blessings The movement is a rhythm to us Freedom is like religion to us Justice is juxtapositionin' us Justice for all just ain't specific enough One son died, his spirit is revisitin' us Truant livin' livin' in us, resistance is us That's why Rosa sat on the bus That's why we walk through Ferguson with our hands up When it go down we woman and man up They say, ""Stay down"", and we stand up Shots, we on the ground, the camera panned up King pointed to the mountain top and we ran up One day when the glory comes It will be ours, it will be ours Oh one day when the war is won We will be sure, we will be sure Oh glory (Glory, glory) Oh (Glory, glory) Now the war is not over, victory isn't won And we'll fight on to the finish, then when it's all done We'll cry glory, oh glory (Glory, glory) Oh (Glory, glory) We'll cry glory, oh glory (Glory, glory) Oh (Glory, glory) Selma's now for every man, woman and child Even Jesus got his crown in front of a crowd They marched with the torch, we gon' run with it now Never look back, we done gone hundreds of miles From dark roads he rose, to become a hero Facin' the league of justice, his power was the people Enemy is lethal, a king became regal Saw the face of Jim Crow under a bald eagle The biggest weapon is to stay peaceful We sing, our music is the cuts that we bleed through Somewhere in the dream we had an epiphany Now we right the wrongs in history No one can win the war individually It takes the wisdom of the elders and young people's energy Welcome to the story we call victory The comin' of the Lord, my eyes have seen the glory One day when the glory comes It will be ours, it will be ours Oh one day when the war is won We will be sure, we will be sure Oh glory (Glory, glory) Oh (Glory, glory) Oh glory (Glory, glory) Hey (Glory, glory) When the war is won, when it's all said and done We'll cry glory (Glory, glory) Oh (Glory, glory)"
Be Free,J Cole,Racism,"And I'm in denial And it don't take no x-ray to see right through my smile I know, I be on the go And there ain't no drink out there that can numb my soul Oh no All we wanna do is take the chains off All we wanna do is break the chains off pain All we wanna do is be free All we wanna do is be free All we wanna do is take the chains off All we wanna do is break the chains off pain All we wanna do is be free All we wanna do is be free Can you tell me why Every time I step outside I see my niggas die I'm lettin' you know That there ain't no gun they make that can kill my soul Oh no All we wanna do is take the chains off All we wanna do is break the chains off pain All we wanna do is be free All we wanna do is be free All we wanna do is take the chains off All we wanna do is break the chains off pain All we wanna do is be free All we wanna do is be free So now it was like the officer is pulling him inside the car and he's Trying to pull away. At no time the officer said that he was going to do anything until he Pulled out his weapon. His weapon was drawn and he said, ""I'll shoot you"" or, ""I'm going to shoot"" and in the same moment, The first shot went off. We looked down and he was shot and there was Blood coming from him. Then we took off running Are we all alone, fighting on our own Please give me a chance, I don't wanna dance Somethings got me down, I will stand my ground Don't just stand around, don't just stand around As we took off running I ducked and hid for my life, Because I was fearing for my life. I hid behind the first car I saw. My friend, he kept running, And he told me to keep running because he feared for me too. So as he was running the officer was trying to get out of the car, And once he got out the car he pursued my friend but his weapon was Drawn. Now he didn't see any weapon drawn at him or anything like That, us going for no weapon. His weapon was already drawn when he got out the car. He shot again, And once my friend felt that shot, He turned around and put his hands in the air, And started to get down, But the officer still approached with his weapon Drawn and he fired 7 more shots and my friend died All we wanna do is take the chains off All we wanna do is break the chains off pain All we wanna do is be free All we wanna do is be free All we wanna do is take the chains off All we wanna do is break the chains off pain All we wanna do is be free All we wanna do is be free"
Spiritual,Jay Z,Racism,"And it says, now the works of the flesh are manifest Meaning, the things that are in the sinful nature They always come to the surface And when they come, when they come to the surface They come to the surface as demons I just want all this work to pay off (Just don't calculate us) Don't calculate us (Get to know you later) Spiritual, yes it is spiritual No I'm not poison, no I'm not poison (Just don't calculate us) Alcohol in my room Spiritual, yes it is spiritual No I'm not poison, no I'm not poison (Just don't calculate us) Spiritual, yes it is spiritual No I'm not poison, no I'm not poison (Just don't calculate us) Yeah, yeah, yeah Yeah, I am not poison, no I am not poison Just a boy from the hood that Got my hands in the air In despair don't shoot I just wanna do good, ah I am not poison, no I am not poison Just a boy from the hood that Got my hands in the air In despair don't shoot I just wanna do good, uh Pray your father's father wasn't touching his little daughter Creating trans-generational trauma, that shit'll haunt ya Pray your little cousin ain't fall from the place that you fall asleep Of course it's harmful (no high) Nigga ain't dozed, I ain't washed in a week I ain't changed clothes 'til the Black Album Y'all rap about it, I'm wrestlin' in these streets 'Til I tapped out 'em, them niggas is WWE Y'all can have that, I'm smack dab In a hurricane of emotions Can't even raise my little daughter, my little Carter We call her Blue cause it's sad that How can I be a dad that, I never had that Shattered in a million pieces, where the glass at I need a drink, shrink or something I need an angelic voice to sing something Bless my soul, extend your arms, I'm cold Hold me for a half hour until I am whole, yeah I am not poison, no I am not poison Just a boy from the hood that Got my hands in the air In despair, don't shoot I just wanna good, ah Alcohol in my room Spiritual, yes it is spiritual No I'm not poison, no I'm not poison (Just don't calculate us) Spiritual, yes it is spiritual No I'm not poison, no I'm not poison (Just don't calculate us) Yeah, yeah, yeah Sugar-higher than hoes, sit behind hyperbole This is the real me unfold Gangster is love, I'm thuggin', I'm huggin' This is tougher than any gun that I raised Any crack that I blazed, that was nothin' Peeling back the layers, uncovering Scars that never healed, I never kept it this real I acted out, my life a stage, ten thousand people watchin' Where's the little boy I knew? I must have forgot him Stuntin', of course we never grew But we're alone now and I'm singing this song for you Stuntin', of course we never grew But we're alone now and I'm singing this song... you I am not poison, no I am not poison Just a boy from the hood that Got my hands in the air In despair don't shoot I just wanna good, ah I am not poison, no I am not poison Just a boy from the hood that Got my hands in the air In despair don't shoot I just wanna do good, uh Alcohol in my room Spiritual, yes it is spiritual No I'm not poison, no I'm not poison (Just don't calculate us) Spiritual, yes it is spiritual No I'm not poison, no I'm not poison (Just don't calculate us) Spiritual, yes it is spiritual No I'm not poison, no I'm not..."
Power,"Rapsody, Lance Skiiiwalker, Kendrick Lamar",Racism,"I feel your energy (feel your energy) It's coming through (it's coming through) Took me a century (a century) To get next to you (to get next to you) Plus make some enemies (enemies) Invested in you (invest in you) So, I feel your energy (I feel your energy) Invested, pursue (ooo ooo, I never read the 48 Laws) The power of the dussy make a grown man cry The day I came up out my mama I saw a grown man cry They say it has magic powers, even Magic ain't die Wake you up out ya sleep to take a 3am car ride He said the booty the only thing between him and God They love the booty, sacrifice they family and job Badge make police feel powerful in the hood Guns make us feel powerful but they don't do no good I know my blackness powerful and they don't like that I know some niggas sold theirs, sit back and watch 'em tap dance Bombs over Baghdad to have a flag to brag bout Don't make you a big boy, cus you got a nice Stack Carolina home boy, you know we keep a Stackhouse Thats power when you know the game, I'm feeling like a Champ now I went the rap route, homie get out the trap house I want the power to be able rap bout, what I rap bout Black child God, love and textiles Point, blank decimal Steph Curry projectile I saw the goal from 8 miles With every stone you threw I picked it up and built a powerhouse Caught a case I got murder in my profile Niggas still billin' me See, that's just the appeal in me Respek on my name Why yall niggas so emotional? Power I feel your energy (feel your energy) It's coming thru (it's coming thru) Took me a century (a century) To get next to you (to get next to you) Plus make some enemies (enemies) Invested in you (invest in you) So, I feel your energy (i feel your energy) Invested, pursue (ooo ooo, I never read the 48 Laws) Power up with the word I got it from my God He said a good shephard don't trip over what they heard Let em talk the talk until the night you choose to go and purge I came up when the rest of you struggled and failed to flourish Conversations with florist She said I'm good as herbs Get em high, get em high from the hood to the suburbs No one can take your power even if a storm occurred It ain't man made, but whether or not you paid don't help or hurt It's a perk Jamla Squad written on my shirt I got a lane but all the lines around me dotted I can merge I can do what you can but you can't do the same with words As I, now watch my street cred go multiply They say the streets respect a real one No one's as real as I It's just me and young blood this where I get all of my power The night I got a chain from Mr Flowers I gave it back when I got done rappin' the same hour I ain't Five Percent, 'less we talkin the top emcees And I'm in the top of that the rest beneath me all cowards When I spit, look around, it's meteor showers I watch the stars fall, fall, fall, see this what you call Power Let's talk about Power Let's talk about your and ours that made the allowance Let's talk about hundred-thousand kids ravin' and bouncin Cravin' and drownin in words the day I pronounced it Let's talk about Power Let's talk about do'ers and dont'ers The house I built when I was homeless and sleepin in corner Sharin' coronas and black and milds Donuts in el caminos Talkin' loud, Scrappin' corners Residue every mornin' Talk about legacy Let's talk about the life of celebrity Verses integrity Curse the first one that thirst for necessity Searching for equity Verses the earth that birthed us indefinitely Verse the verse I wrote in jeopardy Surfin' the laws of the universe and destiny Church and a God is the only thing that's been 'head AW! Let's talk about my power and golden showers Granted to be on your cameras and store counters He's banana's, competitive, we can dance Siege the damage, no more fo' he peed his pants My second LP had real niggas on POTUS lawn The seven grammys is at my Grannys and Heaven arms I'm in Jamaica like ""WAH GAWIN"" my feet is out My hair is long and patois coming out my mouth Me, I go outdoors it's time to bless up erryuhn' Rude boy, me, I worry bout it fearless' I shot niggas then shot movies ten years later Dear God, why you show me so much favor? Amongst the haters and wickedness Deliver this child from evil convictions and friviless Debates about who's the prominent emcee of the millennium And it's all for the benjamins And I'm all of yalls nemsis And I'm all in all happy none of yall can fathom who Kendrick is The only one that did wrote book of Genesis Motherfucker, thats Power"
Don't Don't Do It,"N.E.R.D, Kendrick Lamar",Racism,"It makes no difference in this life Up and ups just fine Gonna up and up this life Til' we go down on our luck It makes no difference in this life Up and ups just fine Gonna up and up this life Til' the lift gets stuck Lifting up, lifting up Lifting up Coming down, coming down Coming down Wake them up, wake them up To the sound They tell you pull over, tell you get out the car Don't do it, don't don't do it Don't do it, don't don't do it Don't do it, don't don't do it They wanna see your hands, tell you hold up your arms Don't do it, don't don't do it Don't do it, don't don't do it Don't do it, don't don't do it We were going home Waiting for the kids Schoolbus to arrive They're gonna do it anyway Reaching for your keys Wait, is that your phone? Got a TBI Wait, is that police? Get out for what? I'm not your guy (They're gonna do it anyway) Wife behind the trees Tryna to tell you don't They're about to fire (They're gonna do it anyway) They're gonna do it anyway They're gonna do it anyway They're gonna do it anyway They're gonna do it anyway They tell you pull over, tell you get out the car (Something says) Don't do it, don't don't do it (Something says) Don't do it, don't don't do it (Something says) Don't do it, don't don't do it They wanna see your hands, tell you hold up you arms (Something says) Don't do it, don't don't do it (Something says) Don't do it, don't don't do it (Something says) Don't do it, don't don't do it Whoa Ferguson, Oh Baltimore Raleigh, North Carolina They're gonna do it anyway Wisconsin, Tulsa, Oklahoma Cleveland, Ohio Montgomery, Baton Rouge, Cincinnati car Dayton, Ohio They're gonna do it anyway New York, New Jersey, Phoenix, Minnesota South Carolina They gonna do it anyway They are gonna do it anyway They are gonna do it anyway They are gonna do it anyway They are gonna do it anyway You better duck, run fast from the mania Don't stare, don't laugh at the media Brake free, press gas when it enter ya' Don't let it go bad when he ante up Highway, get out the way Black man do your great escape Pac-man wanna prosecute you Raise your hand up, and they'll shoot ya' Face off, face off Adolf Hitler Grandkids slayed off Niggas, same rules, same chalk Different decade, same law Keep focus, you wanna get caught with your eyes open You wanna stay clear of the prognosis Pride provoked him, watch demotion Watch em' close enough Don't let the holster break or roast ya' Roller coast ride that bitch Soon the lady's eyes gon' switch You know Johnny got that itch How many more of us gotta see the coroner? Slain by the same badge, stop, wait, brake, fast! Don't do it, don't don't do it Don't do it, don't don't do it Don't do it, don't don't do it Don't do it, don't don't do it"
